meolut id,antenna id,sat id,aos_time,los_time,duration,azimuth at aos,elevation at aos,azimuth at los,elevation at los
3669,4,419,2019-01-22 17:39:02,2019-01-22 20:39:00,179,,,,
3385,1,414,2019-01-22 17:54:02,2019-01-22 20:45:00,170,,,,
3385,5,431,2019-01-22 18:09:01,2019-01-22 21:15:00,185,,,,
3385,4,409,2019-01-22 18:27:02,2019-01-22 20:09:00,101,,,,
3669,3,424,2019-01-22 18:51:02,2019-01-22 21:15:00,143,,,,
3669,2,401,2019-01-22 18:57:02,2019-01-22 22:24:00,206,,,,
3385,2,319,2019-01-22 19:00:01,2019-01-22 20:00:00,59,,,,
3669,6,404,2019-01-22 19:00:02,2019-01-22 20:33:00,92,,,,
3385,3,405,2019-01-22 19:12:01,2019-01-22 21:42:00,149,,,,
3385,6,414,2019-01-22 19:24:02,2019-01-22 20:33:00,68,,,,
3669,5,431,2019-01-22 19:45:01,2019-01-23 00:12:00,266,,,,
3669,1,323,2019-01-22 19:59:11,2019-01-22 20:30:00,30,,,,
3385,2,309,2019-01-22 20:00:01,2019-01-22 20:33:00,32,,,,
3385,4,306,2019-01-22 20:09:02,2019-01-22 21:09:00,59,,,,
3669,1,409,2019-01-22 20:30:01,2019-01-22 22:00:00,89,,,,
3385,2,403,2019-01-22 20:33:01,2019-01-22 21:15:00,41,,,,
3385,6,306,2019-01-22 20:33:01,2019-01-22 21:03:00,29,,,,
3669,6,405,2019-01-22 20:33:02,2019-01-22 21:03:00,29,,,,
3669,4,426,2019-01-22 20:39:02,2019-01-22 22:13:20,94,,,,
3385,1,409,2019-01-22 20:45:02,2019-01-22 21:15:00,29,,,,
3669,6,404,2019-01-22 21:03:01,2019-01-22 21:33:00,29,,,,
3385,6,405,2019-01-22 21:03:02,2019-01-22 21:33:00,29,,,,
3385,4,302,2019-01-22 21:09:02,2019-01-22 22:24:00,74,,,,
3385,5,424,2019-01-22 21:15:01,2019-01-22 22:15:00,59,,,,
3385,1,306,2019-01-22 21:15:02,2019-01-22 21:45:00,29,,,,
3385,2,309,2019-01-22 21:15:02,2019-01-22 21:45:00,29,,,,
3669,3,418,2019-01-22 21:15:02,2019-01-22 23:59:20,164,,,,
3385,6,403,2019-01-22 21:33:02,2019-01-22 22:03:00,29,,,,
3669,6,405,2019-01-22 21:33:02,2019-01-22 23:54:00,140,,,,
3385,3,403,2019-01-22 21:42:02,2019-01-23 00:00:00,137,,,,
3385,1,409,2019-01-22 21:45:02,2019-01-22 23:56:50,131,,,,
3385,2,405,2019-01-22 21:45:02,2019-01-22 22:39:00,53,,,,
3385,6,302,2019-01-22 22:03:01,2019-01-22 22:33:00,29,,,,
3669,4,409,2019-01-22 22:13:21,2019-01-22 22:45:00,31,,,,
3385,5,425,2019-01-22 22:15:01,2019-01-22 22:45:00,29,,,,
3385,4,402,2019-01-22 22:24:01,2019-01-23 00:03:00,98,,,,
3385,6,403,2019-01-22 22:33:01,2019-01-22 23:03:00,29,,,,
3385,5,405,2019-01-22 22:45:01,2019-01-22 23:18:00,32,,,,
3669,4,316,2019-01-22 22:45:02,2019-01-22 23:24:00,38,,,,
3385,6,402,2019-01-22 23:03:01,2019-01-22 23:33:00,29,,,,
3385,5,425,2019-01-22 23:18:02,2019-01-22 23:48:00,29,,,,
3385,6,330,2019-01-22 23:33:01,2019-01-23 00:03:00,29,,,,
3385,5,317,2019-01-22 23:48:01,2019-01-23 00:18:00,29,,,,
3669,6,308,2019-01-22 23:54:01,2019-01-23 00:24:00,29,,,,
3669,3,405,2019-01-22 23:59:21,2019-01-23 00:30:00,30,,,,
3385,6,430,2019-01-23 00:03:01,2019-01-23 00:33:00,29,,,,
